country,cum.deaths,date.POSIXct
China,6,2020-01-22T07:00:00Z
China,17,2020-01-23T07:00:00Z
China,23,2020-01-24T07:00:00Z
China,41,2020-01-25T07:00:00Z
China,56,2020-01-26T07:00:00Z
China,80,2020-01-27T07:00:00Z
China,106,2020-01-28T07:00:00Z
China,132,2020-01-29T07:00:00Z
China,170,2020-01-30T07:00:00Z
China,213,2020-01-31T07:00:00Z
World except China,1,2020-02-02T07:00:00Z
China,304,2020-02-02T07:00:00Z
Philippines,1,2020-02-02T07:00:00Z
World except China,1,2020-02-03T07:00:00Z
China,361,2020-02-03T07:00:00Z
Philippines,1,2020-02-03T07:00:00Z
World except China,1,2020-02-04T07:00:00Z
China,425,2020-02-04T07:00:00Z
Philippines,1,2020-02-04T07:00:00Z
World except China,1,2020-02-05T07:00:00Z
China,491,2020-02-05T07:00:00Z
Philippines,1,2020-02-05T07:00:00Z
World except China,1,2020-02-06T07:00:00Z
China,564,2020-02-06T07:00:00Z
Philippines,1,2020-02-06T07:00:00Z
World except China,1,2020-02-07T07:00:00Z
China,637,2020-02-07T07:00:00Z
Philippines,1,2020-02-07T07:00:00Z
World except China,1,2020-02-08T07:00:00Z
China,723,2020-02-08T07:00:00Z
Philippines,1,2020-02-08T07:00:00Z
World except China,1,2020-02-09T07:00:00Z
China,812,2020-02-09T07:00:00Z
Philippines,1,2020-02-09T07:00:00Z
World except China,1,2020-02-10T07:00:00Z
China,909,2020-02-10T07:00:00Z
Philippines,1,2020-02-10T07:00:00Z
World except China,1,2020-02-11T07:00:00Z
China,1017,2020-02-11T07:00:00Z
Philippines,1,2020-02-11T07:00:00Z
World except China,1,2020-02-12T07:00:00Z
China,1114,2020-02-12T07:00:00Z
Philippines,1,2020-02-12T07:00:00Z
World except China,1,2020-02-13T07:00:00Z
China,1368,2020-02-13T07:00:00Z
Philippines,1,2020-02-13T07:00:00Z
World except China,2,2020-02-14T07:00:00Z
China,1381,2020-02-14T07:00:00Z
Philippines,1,2020-02-14T07:00:00Z
Japan,1,2020-02-14T07:00:00Z
World except China,3,2020-02-16T07:00:00Z
China,1666,2020-02-16T07:00:00Z
Japan,1,2020-02-16T07:00:00Z
France,1,2020-02-16T07:00:00Z
Philippines,1,2020-02-16T07:00:00Z
World except China,3,2020-02-17T07:00:00Z
China,1772,2020-02-17T07:00:00Z
Japan,1,2020-02-17T07:00:00Z
France,1,2020-02-17T07:00:00Z
Philippines,1,2020-02-17T07:00:00Z
World except China,3,2020-02-18T07:00:00Z
China,1870,2020-02-18T07:00:00Z
Japan,1,2020-02-18T07:00:00Z
France,1,2020-02-18T07:00:00Z
Philippines,1,2020-02-18T07:00:00Z
World except China,3,2020-02-19T07:00:00Z
China,2006,2020-02-19T07:00:00Z
Japan,1,2020-02-19T07:00:00Z
France,1,2020-02-19T07:00:00Z
Philippines,1,2020-02-19T07:00:00Z
World except China,8,2020-02-20T07:00:00Z
China,2121,2020-02-20T07:00:00Z
Iran,2,2020-02-20T07:00:00Z
South Korea,1,2020-02-20T07:00:00Z
International conveyance,2,2020-02-20T07:00:00Z
Japan,1,2020-02-20T07:00:00Z
France,1,2020-02-20T07:00:00Z
Philippines,1,2020-02-20T07:00:00Z
World except China,8,2020-02-21T07:00:00Z
China,2239,2020-02-21T07:00:00Z
Iran,2,2020-02-21T07:00:00Z
South Korea,1,2020-02-21T07:00:00Z
International conveyance,2,2020-02-21T07:00:00Z
Japan,1,2020-02-21T07:00:00Z
France,1,2020-02-21T07:00:00Z
Philippines,1,2020-02-21T07:00:00Z
World except China,11,2020-02-22T07:00:00Z
China,2348,2020-02-22T07:00:00Z
Iran,4,2020-02-22T07:00:00Z
South Korea,2,2020-02-22T07:00:00Z
International conveyance,2,2020-02-22T07:00:00Z
Japan,1,2020-02-22T07:00:00Z
France,1,2020-02-22T07:00:00Z
Philippines,1,2020-02-22T07:00:00Z
World except China,17,2020-02-23T07:00:00Z
China,2445,2020-02-23T07:00:00Z
Iran,5,2020-02-23T07:00:00Z
Italy,2,2020-02-23T07:00:00Z
South Korea,5,2020-02-23T07:00:00Z
International conveyance,2,2020-02-23T07:00:00Z
Japan,1,2020-02-23T07:00:00Z
France,1,2020-02-23T07:00:00Z
Philippines,1,2020-02-23T07:00:00Z
World except China,23,2020-02-24T07:00:00Z
China,2595,2020-02-24T07:00:00Z
Iran,8,2020-02-24T07:00:00Z
Italy,2,2020-02-24T07:00:00Z
South Korea,7,2020-02-24T07:00:00Z
International conveyance,3,2020-02-24T07:00:00Z
Japan,1,2020-02-24T07:00:00Z
France,1,2020-02-24T07:00:00Z
Philippines,1,2020-02-24T07:00:00Z
World except China,34,2020-02-25T07:00:00Z
China,2666,2020-02-25T07:00:00Z
Iran,12,2020-02-25T07:00:00Z
Italy,6,2020-02-25T07:00:00Z
South Korea,10,2020-02-25T07:00:00Z
International conveyance,3,2020-02-25T07:00:00Z
Japan,1,2020-02-25T07:00:00Z
France,1,2020-02-25T07:00:00Z
Philippines,1,2020-02-25T07:00:00Z
World except China,44,2020-02-26T07:00:00Z
China,2718,2020-02-26T07:00:00Z
Iran,15,2020-02-26T07:00:00Z
Italy,11,2020-02-26T07:00:00Z
South Korea,12,2020-02-26T07:00:00Z
International conveyance,3,2020-02-26T07:00:00Z
Japan,1,2020-02-26T07:00:00Z
France,1,2020-02-26T07:00:00Z
Philippines,1,2020-02-26T07:00:00Z
World except China,57,2020-02-27T07:00:00Z
China,2747,2020-02-27T07:00:00Z
Iran,22,2020-02-27T07:00:00Z
Italy,12,2020-02-27T07:00:00Z
South Korea,13,2020-02-27T07:00:00Z
International conveyance,4,2020-02-27T07:00:00Z
Japan,3,2020-02-27T07:00:00Z
France,2,2020-02-27T07:00:00Z
Philippines,1,2020-02-27T07:00:00Z
World except China,67,2020-02-28T07:00:00Z
China,2791,2020-02-28T07:00:00Z
Iran,26,2020-02-28T07:00:00Z
Italy,17,2020-02-28T07:00:00Z
South Korea,13,2020-02-28T07:00:00Z
International conveyance,4,2020-02-28T07:00:00Z
Japan,4,2020-02-28T07:00:00Z
France,2,2020-02-28T07:00:00Z
Philippines,1,2020-02-28T07:00:00Z
World except China,86,2020-02-29T07:00:00Z
China,2838,2020-02-29T07:00:00Z
Iran,34,2020-02-29T07:00:00Z
Italy,21,2020-02-29T07:00:00Z
South Korea,17,2020-02-29T07:00:00Z
International conveyance,6,2020-02-29T07:00:00Z
Japan,5,2020-02-29T07:00:00Z
France,2,2020-02-29T07:00:00Z
Philippines,1,2020-02-29T07:00:00Z
World except China,128,2020-03-02T07:00:00Z
China,2915,2020-03-02T07:00:00Z
Italy,35,2020-03-02T07:00:00Z
Iran,54,2020-03-02T07:00:00Z
France,2,2020-03-02T07:00:00Z
South Korea,22,2020-03-02T07:00:00Z
Japan,6,2020-03-02T07:00:00Z
International conveyance,6,2020-03-02T07:00:00Z
Philippines,1,2020-03-02T07:00:00Z
Australia,1,2020-03-02T07:00:00Z
Thailand,1,2020-03-02T07:00:00Z
World except China,166,2020-03-03T07:00:00Z
China,2946,2020-03-03T07:00:00Z
Italy,52,2020-03-03T07:00:00Z
Iran,66,2020-03-03T07:00:00Z
France,3,2020-03-03T07:00:00Z
South Korea,28,2020-03-03T07:00:00Z
Japan,6,2020-03-03T07:00:00Z
International conveyance,6,2020-03-03T07:00:00Z
Philippines,1,2020-03-03T07:00:00Z
Australia,1,2020-03-03T07:00:00Z
Thailand,1,2020-03-03T07:00:00Z
World except China,214,2020-03-04T07:00:00Z
China,2984,2020-03-04T07:00:00Z
Italy,80,2020-03-04T07:00:00Z
Iran,77,2020-03-04T07:00:00Z
France,4,2020-03-04T07:00:00Z
South Korea,32,2020-03-04T07:00:00Z
USA,2,2020-03-04T07:00:00Z
Japan,6,2020-03-04T07:00:00Z
International conveyance,6,2020-03-04T07:00:00Z
Philippines,1,2020-03-04T07:00:00Z
Australia,1,2020-03-04T07:00:00Z
Thailand,1,2020-03-04T07:00:00Z
World except China,266,2020-03-05T07:00:00Z
China,3015,2020-03-05T07:00:00Z
Italy,107,2020-03-05T07:00:00Z
Iran,92,2020-03-05T07:00:00Z
Spain,1,2020-03-05T07:00:00Z
France,4,2020-03-05T07:00:00Z
South Korea,35,2020-03-05T07:00:00Z
USA,6,2020-03-05T07:00:00Z
Japan,6,2020-03-05T07:00:00Z
Iraq,2,2020-03-05T07:00:00Z
International conveyance,6,2020-03-05T07:00:00Z
Philippines,1,2020-03-05T07:00:00Z
Australia,2,2020-03-05T07:00:00Z
Thailand,1,2020-03-05T07:00:00Z
World except China,335,2020-03-06T07:00:00Z
China,3045,2020-03-06T07:00:00Z
Italy,148,2020-03-06T07:00:00Z
Iran,107,2020-03-06T07:00:00Z
Spain,3,2020-03-06T07:00:00Z
France,6,2020-03-06T07:00:00Z
South Korea,42,2020-03-06T07:00:00Z
USA,9,2020-03-06T07:00:00Z
Japan,6,2020-03-06T07:00:00Z
Switzerland,1,2020-03-06T07:00:00Z
Iraq,2,2020-03-06T07:00:00Z
International conveyance,6,2020-03-06T07:00:00Z
Philippines,1,2020-03-06T07:00:00Z
Australia,2,2020-03-06T07:00:00Z
Thailand,1,2020-03-06T07:00:00Z
World except China,413,2020-03-07T07:00:00Z
China,3073,2020-03-07T07:00:00Z
Italy,197,2020-03-07T07:00:00Z
Iran,124,2020-03-07T07:00:00Z
Spain,5,2020-03-07T07:00:00Z
France,9,2020-03-07T07:00:00Z
South Korea,44,2020-03-07T07:00:00Z
USA,10,2020-03-07T07:00:00Z
Japan,6,2020-03-07T07:00:00Z
UK,1,2020-03-07T07:00:00Z
Netherlands,1,2020-03-07T07:00:00Z
Switzerland,1,2020-03-07T07:00:00Z
Iraq,4,2020-03-07T07:00:00Z
International conveyance,6,2020-03-07T07:00:00Z
Philippines,1,2020-03-07T07:00:00Z
Australia,2,2020-03-07T07:00:00Z
Thailand,1,2020-03-07T07:00:00Z
World except China,484,2020-03-08T07:00:00Z
China,3100,2020-03-08T07:00:00Z
Italy,234,2020-03-08T07:00:00Z
Iran,145,2020-03-08T07:00:00Z
Spain,5,2020-03-08T07:00:00Z
France,10,2020-03-08T07:00:00Z
South Korea,50,2020-03-08T07:00:00Z
USA,11,2020-03-08T07:00:00Z
Japan,6,2020-03-08T07:00:00Z
UK,2,2020-03-08T07:00:00Z
Netherlands,1,2020-03-08T07:00:00Z
Switzerland,2,2020-03-08T07:00:00Z
Iraq,4,2020-03-08T07:00:00Z
International conveyance,7,2020-03-08T07:00:00Z
Philippines,1,2020-03-08T07:00:00Z
San Marino,1,2020-03-08T07:00:00Z
Australia,3,2020-03-08T07:00:00Z
Argentina,1,2020-03-08T07:00:00Z
Thailand,1,2020-03-08T07:00:00Z
World except China,686,2020-03-09T07:00:00Z
China,3123,2020-03-09T07:00:00Z
Italy,366,2020-03-09T07:00:00Z
Iran,194,2020-03-09T07:00:00Z
Spain,10,2020-03-09T07:00:00Z
France,19,2020-03-09T07:00:00Z
South Korea,51,2020-03-09T07:00:00Z
USA,14,2020-03-09T07:00:00Z
Japan,7,2020-03-09T07:00:00Z
UK,2,2020-03-09T07:00:00Z
Netherlands,3,2020-03-09T07:00:00Z
Switzerland,2,2020-03-09T07:00:00Z
Iraq,6,2020-03-09T07:00:00Z
International conveyance,7,2020-03-09T07:00:00Z
Philippines,1,2020-03-09T07:00:00Z
San Marino,1,2020-03-09T07:00:00Z
Australia,3,2020-03-09T07:00:00Z
Argentina,1,2020-03-09T07:00:00Z
Egypt,1,2020-03-09T07:00:00Z
Thailand,1,2020-03-09T07:00:00Z
World except China,872,2020-03-10T07:00:00Z
China,3140,2020-03-10T07:00:00Z
Italy,463,2020-03-10T07:00:00Z
Iran,237,2020-03-10T07:00:00Z
Spain,28,2020-03-10T07:00:00Z
France,30,2020-03-10T07:00:00Z
South Korea,54,2020-03-10T07:00:00Z
USA,19,2020-03-10T07:00:00Z
Japan,9,2020-03-10T07:00:00Z
UK,3,2020-03-10T07:00:00Z
Netherlands,3,2020-03-10T07:00:00Z
Switzerland,2,2020-03-10T07:00:00Z
Iraq,6,2020-03-10T07:00:00Z
Germany,2,2020-03-10T07:00:00Z
International conveyance,7,2020-03-10T07:00:00Z
Philippines,1,2020-03-10T07:00:00Z
San Marino,2,2020-03-10T07:00:00Z
Australia,3,2020-03-10T07:00:00Z
Argentina,1,2020-03-10T07:00:00Z
Egypt,1,2020-03-10T07:00:00Z
Thailand,1,2020-03-10T07:00:00Z
World except China,1130,2020-03-11T07:00:00Z
China,3162,2020-03-11T07:00:00Z
Italy,631,2020-03-11T07:00:00Z
Iran,291,2020-03-11T07:00:00Z
Spain,36,2020-03-11T07:00:00Z
France,33,2020-03-11T07:00:00Z
South Korea,60,2020-03-11T07:00:00Z
USA,25,2020-03-11T07:00:00Z
Japan,12,2020-03-11T07:00:00Z
UK,6,2020-03-11T07:00:00Z
Netherlands,4,2020-03-11T07:00:00Z
Switzerland,3,2020-03-11T07:00:00Z
Iraq,6,2020-03-11T07:00:00Z
Germany,2,2020-03-11T07:00:00Z
International conveyance,7,2020-03-11T07:00:00Z
Philippines,1,2020-03-11T07:00:00Z
San Marino,2,2020-03-11T07:00:00Z
Indonesia,1,2020-03-11T07:00:00Z
Australia,3,2020-03-11T07:00:00Z
Lebanon,1,2020-03-11T07:00:00Z
Argentina,1,2020-03-11T07:00:00Z
Egypt,1,2020-03-11T07:00:00Z
Thailand,1,2020-03-11T07:00:00Z
Canada,1,2020-03-11T07:00:00Z
Morocco,1,2020-03-11T07:00:00Z
Panama,1,2020-03-11T07:00:00Z
World except China,1440,2020-03-12T07:00:00Z
China,3173,2020-03-12T07:00:00Z
Italy,827,2020-03-12T07:00:00Z
Iran,354,2020-03-12T07:00:00Z
Spain,48,2020-03-12T07:00:00Z
France,48,2020-03-12T07:00:00Z
South Korea,66,2020-03-12T07:00:00Z
USA,29,2020-03-12T07:00:00Z
Japan,15,2020-03-12T07:00:00Z
UK,6,2020-03-12T07:00:00Z
Netherlands,5,2020-03-12T07:00:00Z
Switzerland,4,2020-03-12T07:00:00Z
Iraq,7,2020-03-12T07:00:00Z
Germany,3,2020-03-12T07:00:00Z
International conveyance,7,2020-03-12T07:00:00Z
Philippines,2,2020-03-12T07:00:00Z
San Marino,2,2020-03-12T07:00:00Z
Indonesia,1,2020-03-12T07:00:00Z
Australia,3,2020-03-12T07:00:00Z
Lebanon,3,2020-03-12T07:00:00Z
Algeria,1,2020-03-12T07:00:00Z
Argentina,1,2020-03-12T07:00:00Z
Egypt,1,2020-03-12T07:00:00Z
Bulgaria,1,2020-03-12T07:00:00Z
Greece,1,2020-03-12T07:00:00Z
Ireland,1,2020-03-12T07:00:00Z
Thailand,1,2020-03-12T07:00:00Z
Canada,1,2020-03-12T07:00:00Z
Morocco,1,2020-03-12T07:00:00Z
Panama,1,2020-03-12T07:00:00Z
World except China,1775,2020-03-13T07:00:00Z
China,3180,2020-03-13T07:00:00Z
Italy,1016,2020-03-13T07:00:00Z
Iran,429,2020-03-13T07:00:00Z
Spain,84,2020-03-13T07:00:00Z
France,61,2020-03-13T07:00:00Z
South Korea,66,2020-03-13T07:00:00Z
USA,36,2020-03-13T07:00:00Z
Japan,19,2020-03-13T07:00:00Z
UK,8,2020-03-13T07:00:00Z
Netherlands,5,2020-03-13T07:00:00Z
Switzerland,6,2020-03-13T07:00:00Z
Iraq,7,2020-03-13T07:00:00Z
Germany,6,2020-03-13T07:00:00Z
International conveyance,7,2020-03-13T07:00:00Z
Philippines,2,2020-03-13T07:00:00Z
San Marino,2,2020-03-13T07:00:00Z
Indonesia,1,2020-03-13T07:00:00Z
Australia,3,2020-03-13T07:00:00Z
Lebanon,3,2020-03-13T07:00:00Z
Algeria,1,2020-03-13T07:00:00Z
Poland,1,2020-03-13T07:00:00Z
Argentina,1,2020-03-13T07:00:00Z
Egypt,1,2020-03-13T07:00:00Z
Bulgaria,1,2020-03-13T07:00:00Z
Greece,1,2020-03-13T07:00:00Z
Ireland,1,2020-03-13T07:00:00Z
India,1,2020-03-13T07:00:00Z
Thailand,1,2020-03-13T07:00:00Z
Canada,1,2020-03-13T07:00:00Z
Morocco,1,2020-03-13T07:00:00Z
Panama,1,2020-03-13T07:00:00Z
Austria,1,2020-03-13T07:00:00Z
Guyana,1,2020-03-13T07:00:00Z
World except China,2198,2020-03-14T07:00:00Z
China,3194,2020-03-14T07:00:00Z
Italy,1268,2020-03-14T07:00:00Z
Iran,514,2020-03-14T07:00:00Z
Spain,120,2020-03-14T07:00:00Z
France,79,2020-03-14T07:00:00Z
South Korea,72,2020-03-14T07:00:00Z
USA,41,2020-03-14T07:00:00Z
Japan,21,2020-03-14T07:00:00Z
UK,10,2020-03-14T07:00:00Z
Netherlands,10,2020-03-14T07:00:00Z
Switzerland,6,2020-03-14T07:00:00Z
Iraq,9,2020-03-14T07:00:00Z
Germany,6,2020-03-14T07:00:00Z
International conveyance,7,2020-03-14T07:00:00Z
Philippines,2,2020-03-14T07:00:00Z
San Marino,2,2020-03-14T07:00:00Z
Indonesia,3,2020-03-14T07:00:00Z
Australia,3,2020-03-14T07:00:00Z
Lebanon,3,2020-03-14T07:00:00Z
Algeria,2,2020-03-14T07:00:00Z
Poland,1,2020-03-14T07:00:00Z
Argentina,2,2020-03-14T07:00:00Z
Egypt,2,2020-03-14T07:00:00Z
Bulgaria,1,2020-03-14T07:00:00Z
Greece,1,2020-03-14T07:00:00Z
Ireland,1,2020-03-14T07:00:00Z
India,2,2020-03-14T07:00:00Z
Thailand,1,2020-03-14T07:00:00Z
Canada,1,2020-03-14T07:00:00Z
Morocco,1,2020-03-14T07:00:00Z
Panama,1,2020-03-14T07:00:00Z
Austria,1,2020-03-14T07:00:00Z
Guyana,1,2020-03-14T07:00:00Z
Albania,1,2020-03-14T07:00:00Z
Luxembourg,1,2020-03-14T07:00:00Z
Norway,1,2020-03-14T07:00:00Z
Ukraine,1,2020-03-14T07:00:00Z
World except China,2531,2020-03-15T07:00:00Z
China,3204,2020-03-15T07:00:00Z
Italy,1441,2020-03-15T07:00:00Z
Iran,608,2020-03-15T07:00:00Z
Spain,136,2020-03-15T07:00:00Z
France,91,2020-03-15T07:00:00Z
South Korea,75,2020-03-15T07:00:00Z
USA,41,2020-03-15T07:00:00Z
Japan,22,2020-03-15T07:00:00Z
UK,21,2020-03-15T07:00:00Z
Netherlands,12,2020-03-15T07:00:00Z
Switzerland,11,2020-03-15T07:00:00Z
Iraq,9,2020-03-15T07:00:00Z
Germany,8,2020-03-15T07:00:00Z
International conveyance,7,2020-03-15T07:00:00Z
Philippines,6,2020-03-15T07:00:00Z
San Marino,5,2020-03-15T07:00:00Z
Indonesia,4,2020-03-15T07:00:00Z
Australia,3,2020-03-15T07:00:00Z
Lebanon,3,2020-03-15T07:00:00Z
Algeria,3,2020-03-15T07:00:00Z
Poland,3,2020-03-15T07:00:00Z
Argentina,2,2020-03-15T07:00:00Z
Egypt,2,2020-03-15T07:00:00Z
Bulgaria,2,2020-03-15T07:00:00Z
Greece,2,2020-03-15T07:00:00Z
Ireland,2,2020-03-15T07:00:00Z
India,2,2020-03-15T07:00:00Z
Thailand,1,2020-03-15T07:00:00Z
Canada,1,2020-03-15T07:00:00Z
Morocco,1,2020-03-15T07:00:00Z
Panama,1,2020-03-15T07:00:00Z
Austria,1,2020-03-15T07:00:00Z
Guyana,1,2020-03-15T07:00:00Z
Albania,1,2020-03-15T07:00:00Z
Luxembourg,1,2020-03-15T07:00:00Z
Norway,1,2020-03-15T07:00:00Z
Ukraine,1,2020-03-15T07:00:00Z
Italy,2503,2020-03-17T07:00:00Z
Spain,309,2020-03-17T07:00:00Z
China,3231,2020-03-17T07:00:00Z
France,148,2020-03-17T07:00:00Z
Iran,853,2020-03-17T07:00:00Z
USA,58,2020-03-17T07:00:00Z
UK,55,2020-03-17T07:00:00Z
Netherlands,24,2020-03-17T07:00:00Z
Germany,13,2020-03-17T07:00:00Z
Belgium,5,2020-03-17T07:00:00Z
Switzerland,14,2020-03-17T07:00:00Z
South Korea,81,2020-03-17T07:00:00Z
Sweden,3,2020-03-17T07:00:00Z
Indonesia,5,2020-03-17T07:00:00Z
Austria,3,2020-03-17T07:00:00Z
Philippines,12,2020-03-17T07:00:00Z
Denmark,4,2020-03-17T07:00:00Z
Canada,1,2020-03-17T07:00:00Z
Ecuador,2,2020-03-17T07:00:00Z
Japan,28,2020-03-17T07:00:00Z
Ireland,2,2020-03-17T07:00:00Z
Iraq,9,2020-03-17T07:00:00Z
Greece,4,2020-03-17T07:00:00Z
Dominican Republic,1,2020-03-17T07:00:00Z
Egypt,4,2020-03-17T07:00:00Z
Morocco,2,2020-03-17T07:00:00Z
Algeria,4,2020-03-17T07:00:00Z
Poland,3,2020-03-17T07:00:00Z
India,3,2020-03-17T07:00:00Z
Norway,3,2020-03-17T07:00:00Z
San Marino,9,2020-03-17T07:00:00Z
Panama,1,2020-03-17T07:00:00Z
Luxembourg,1,2020-03-17T07:00:00Z
Argentina,2,2020-03-17T07:00:00Z
Australia,5,2020-03-17T07:00:00Z
Hungary,1,2020-03-17T07:00:00Z
Ukraine,1,2020-03-17T07:00:00Z
Lebanon,3,2020-03-17T07:00:00Z
Albania,1,2020-03-17T07:00:00Z
Thailand,1,2020-03-17T07:00:00Z
Bulgaria,2,2020-03-17T07:00:00Z
International conveyance,7,2020-03-17T07:00:00Z
Bahrain,1,2020-03-17T07:00:00Z
Sudan,1,2020-03-17T07:00:00Z
Guyana,1,2020-03-17T07:00:00Z
Cayman Islands,1,2020-03-17T07:00:00Z
Guatemala,1,2020-03-17T07:00:00Z
Italy,2503,2020-03-18T07:00:00Z
Spain,491,2020-03-18T07:00:00Z
China,3231,2020-03-18T07:00:00Z
France,175,2020-03-18T07:00:00Z
Iran,988,2020-03-18T07:00:00Z
USA,58,2020-03-18T07:00:00Z
UK,55,2020-03-18T07:00:00Z
Netherlands,43,2020-03-18T07:00:00Z
Germany,13,2020-03-18T07:00:00Z
Belgium,14,2020-03-18T07:00:00Z
Switzerland,14,2020-03-18T07:00:00Z
Turkey,1,2020-03-18T07:00:00Z
South Korea,81,2020-03-18T07:00:00Z
Sweden,3,2020-03-18T07:00:00Z
Portugal,1,2020-03-18T07:00:00Z
Indonesia,5,2020-03-18T07:00:00Z
Austria,3,2020-03-18T07:00:00Z
Philippines,12,2020-03-18T07:00:00Z
Denmark,4,2020-03-18T07:00:00Z
Canada,1,2020-03-18T07:00:00Z
Ecuador,2,2020-03-18T07:00:00Z
Japan,28,2020-03-18T07:00:00Z
Ireland,2,2020-03-18T07:00:00Z
Iraq,11,2020-03-18T07:00:00Z
Greece,4,2020-03-18T07:00:00Z
Dominican Republic,1,2020-03-18T07:00:00Z
Egypt,4,2020-03-18T07:00:00Z
Morocco,2,2020-03-18T07:00:00Z
Algeria,4,2020-03-18T07:00:00Z
Poland,5,2020-03-18T07:00:00Z
India,3,2020-03-18T07:00:00Z
Norway,3,2020-03-18T07:00:00Z
San Marino,11,2020-03-18T07:00:00Z
Panama,1,2020-03-18T07:00:00Z
Luxembourg,1,2020-03-18T07:00:00Z
Argentina,2,2020-03-18T07:00:00Z
Australia,5,2020-03-18T07:00:00Z
Hungary,1,2020-03-18T07:00:00Z
Ukraine,2,2020-03-18T07:00:00Z
Lebanon,3,2020-03-18T07:00:00Z
Albania,1,2020-03-18T07:00:00Z
Slovenia,1,2020-03-18T07:00:00Z
Thailand,1,2020-03-18T07:00:00Z
Bulgaria,2,2020-03-18T07:00:00Z
International conveyance,7,2020-03-18T07:00:00Z
Bahrain,1,2020-03-18T07:00:00Z
Cuba,1,2020-03-18T07:00:00Z
Sudan,1,2020-03-18T07:00:00Z
Guyana,1,2020-03-18T07:00:00Z
Cayman Islands,1,2020-03-18T07:00:00Z
Guatemala,1,2020-03-18T07:00:00Z
Italy,2978,2020-03-19T07:00:00Z
Spain,598,2020-03-19T07:00:00Z
China,3242,2020-03-19T07:00:00Z
France,244,2020-03-19T07:00:00Z
Iran,1135,2020-03-19T07:00:00Z
USA,100,2020-03-19T07:00:00Z
UK,103,2020-03-19T07:00:00Z
Netherlands,58,2020-03-19T07:00:00Z
Germany,13,2020-03-19T07:00:00Z
Belgium,14,2020-03-19T07:00:00Z
Switzerland,21,2020-03-19T07:00:00Z
Turkey,2,2020-03-19T07:00:00Z
South Korea,84,2020-03-19T07:00:00Z
Sweden,3,2020-03-19T07:00:00Z
Portugal,2,2020-03-19T07:00:00Z
Brazil,1,2020-03-19T07:00:00Z
Indonesia,19,2020-03-19T07:00:00Z
Austria,4,2020-03-19T07:00:00Z
Philippines,14,2020-03-19T07:00:00Z
Denmark,4,2020-03-19T07:00:00Z
Canada,8,2020-03-19T07:00:00Z
Ecuador,2,2020-03-19T07:00:00Z
Japan,29,2020-03-19T07:00:00Z
Ireland,2,2020-03-19T07:00:00Z
Iraq,12,2020-03-19T07:00:00Z
Greece,5,2020-03-19T07:00:00Z
Dominican Republic,1,2020-03-19T07:00:00Z
Egypt,6,2020-03-19T07:00:00Z
Malaysia,2,2020-03-19T07:00:00Z
Morocco,2,2020-03-19T07:00:00Z
Algeria,6,2020-03-19T07:00:00Z
Poland,5,2020-03-19T07:00:00Z
India,3,2020-03-19T07:00:00Z
Norway,3,2020-03-19T07:00:00Z
San Marino,14,2020-03-19T07:00:00Z
Panama,1,2020-03-19T07:00:00Z
Luxembourg,2,2020-03-19T07:00:00Z
Argentina,2,2020-03-19T07:00:00Z
Australia,6,2020-03-19T07:00:00Z
Hungary,1,2020-03-19T07:00:00Z
Ukraine,2,2020-03-19T07:00:00Z
Burkina Faso,1,2020-03-19T07:00:00Z
Lebanon,4,2020-03-19T07:00:00Z
Albania,2,2020-03-19T07:00:00Z
Slovenia,1,2020-03-19T07:00:00Z
Thailand,1,2020-03-19T07:00:00Z
Bulgaria,2,2020-03-19T07:00:00Z
International conveyance,7,2020-03-19T07:00:00Z
Bahrain,1,2020-03-19T07:00:00Z
Cuba,1,2020-03-19T07:00:00Z
Azerbaijan,1,2020-03-19T07:00:00Z
Sudan,1,2020-03-19T07:00:00Z
Guyana,1,2020-03-19T07:00:00Z
Cayman Islands,1,2020-03-19T07:00:00Z
Guatemala,1,2020-03-19T07:00:00Z
Italy,3407,2020-03-20T07:00:00Z
Spain,767,2020-03-20T07:00:00Z
China,3253,2020-03-20T07:00:00Z
France,372,2020-03-20T07:00:00Z
Iran,1284,2020-03-20T07:00:00Z
USA,150,2020-03-20T07:00:00Z
UK,144,2020-03-20T07:00:00Z
Netherlands,76,2020-03-20T07:00:00Z
Germany,20,2020-03-20T07:00:00Z
Belgium,14,2020-03-20T07:00:00Z
Switzerland,33,2020-03-20T07:00:00Z
Turkey,2,2020-03-20T07:00:00Z
South Korea,94,2020-03-20T07:00:00Z
Sweden,3,2020-03-20T07:00:00Z
Portugal,3,2020-03-20T07:00:00Z
Brazil,4,2020-03-20T07:00:00Z
Indonesia,25,2020-03-20T07:00:00Z
Austria,5,2020-03-20T07:00:00Z
Philippines,17,2020-03-20T07:00:00Z
Denmark,6,2020-03-20T07:00:00Z
Canada,9,2020-03-20T07:00:00Z
Ecuador,3,2020-03-20T07:00:00Z
Japan,33,2020-03-20T07:00:00Z
Ireland,3,2020-03-20T07:00:00Z
Iraq,12,2020-03-20T07:00:00Z
Greece,5,2020-03-20T07:00:00Z
Dominican Republic,2,2020-03-20T07:00:00Z
Egypt,6,2020-03-20T07:00:00Z
Malaysia,2,2020-03-20T07:00:00Z
Morocco,2,2020-03-20T07:00:00Z
Algeria,7,2020-03-20T07:00:00Z
Poland,5,2020-03-20T07:00:00Z
India,4,2020-03-20T07:00:00Z
Norway,6,2020-03-20T07:00:00Z
San Marino,14,2020-03-20T07:00:00Z
Pakistan,2,2020-03-20T07:00:00Z
